index,순번,이수구분,교과목명,캠퍼스구분,학점,강의시간/강의실,강의정보1,강의정보2,학부(과),영역구분
498,536,전필,현대물리실험,가좌캠퍼스,2.0,"목8,9[351-0105]","목8,9[351-0105]",,수학물리학부,
499,537,전필,역학1및연습,가좌캠퍼스,4.0,"월6,7[352-0103],수6,7[352-0103]","월6,7[352-0103]","수6,7[352-0103]",수학물리학부,
500,538,전필,수리물리1및연습,가좌캠퍼스,4.0,"화3,4[352-0103],목1,2[352-0103]","화3,4[352-0103]","목1,2[352-0103]",수학물리학부,
502,540,전선,알고리즘,가좌캠퍼스,3.0,"수3,4,5[351-0115]","수3,4,5[351-0115]",,수학물리학부,
503,541,전선,현대물리학,가좌캠퍼스,3.0,"화1,2[351-0115],목3[351-0115]","화1,2[351-0115]",목3[351-0115],수학물리학부,
504,542,전필,통계물리1,가좌캠퍼스,3.0,"월4[351-0115],수1,2[351-0115]",월4[351-0115],"수1,2[351-0115]",수학물리학부,
505,543,전필,양자역학1및연습,가좌캠퍼스,4.0,"월8,9[352-0205],목6,7[352-0205]","월8,9[352-0205]","목6,7[352-0205]",수학물리학부,
506,544,전선,전자기학2,가좌캠퍼스,3.0,"월6,7[351-0115],수6,7[351-0115]","월6,7[351-0115]","수6,7[351-0115]",수학물리학부,
507,545,전선,물리시스템제어실습,가좌캠퍼스,3.0,"화6,7[351-0201],목8,9[351-0201]","화6,7[351-0201]","목8,9[351-0201]",수학물리학부,
508,546,전선,전자물리,가좌캠퍼스,3.0,"화1,2[352-0103],목3,4[352-0103]","화1,2[352-0103]","목3,4[352-0103]",수학물리학부,
509,547,전선,진공기술,가좌캠퍼스,3.0,"월1,2,3[352-0205]","월1,2,3[352-0205]",,수학물리학부,
510,548,전필,물리와데이터PBL(종합설계),가좌캠퍼스,3.0,"화6,7,8,9[351-0115]","화6,7,8,9[351-0115]",,수학물리학부,
511,549,전선,고체물리,가좌캠퍼스,3.0,수5[352-0205],수5[352-0205],,수학물리학부,
512,550,전선,응용광학,가좌캠퍼스,3.0,"화1,2[352-0205],목3[352-0205]","화1,2[352-0205]",목3[352-0205],수학물리학부,
513,554,전선,양자정보,가좌캠퍼스,3.0,"월8,9[352-0103],목8[352-0103]","월8,9[352-0103]",목8[352-0103],수학물리학부,
514,555,전선,반도체공정및장비,가좌캠퍼스,3.0,"월1,2,3[351-0115]","월1,2,3[351-0115]",,수학물리학부,
515,556,전선,고분자물리,가좌캠퍼스,2.0,"목6,7[352-0103]","목6,7[352-0103]",,수학물리학부,
516,557,전필,해석학1,가좌캠퍼스,2.0,"화1,2[354-0410]","화1,2[354-0410]",,수학물리학부,
517,558,전필,해석학연습,가좌캠퍼스,1.0,"목1,2[354-0410]","목1,2[354-0410]",,수학물리학부,
518,559,전선,미분방정식,가좌캠퍼스,3.0,"월6,7[354-0410],목5[354-0410]","월6,7[354-0410]",목5[354-0410],수학물리학부,
519,560,전선,다변수해석학,가좌캠퍼스,3.0,"월5[354-0410],수6,7[354-0410]",월5[354-0410],"수6,7[354-0410]",수학물리학부,
520,561,전선,기초통계학,가좌캠퍼스,3.0,"월1,2[354-0409],수3[354-0409]","월1,2[354-0409]",수3[354-0409],수학물리학부,
521,562,전선,선형대수학,가좌캠퍼스,3.0,"화5[354-0411],목6,7[354-0411]",화5[354-0411],"목6,7[354-0411]",수학물리학부,
522,563,전필,현대대수학1,가좌캠퍼스,2.0,"수1,2[354-0410]","수1,2[354-0410]",,수학물리학부,
523,564,전필,현대대수학연습,가좌캠퍼스,1.0,"월8,9[354-0410]","월8,9[354-0410]",,수학물리학부,
524,565,전선,금융수학,가좌캠퍼스,3.0,"월6,7[354-0409],목5[354-0409]","월6,7[354-0409]",목5[354-0409],수학물리학부,
525,566,전선,복소수함수론1,가좌캠퍼스,3.0,"월1,2[354-0411],수3[354-0411]","월1,2[354-0411]",수3[354-0411],수학물리학부,
526,567,전선,위상수학2,가좌캠퍼스,3.0,"월5[354-0411],수6,7[354-0411]",월5[354-0411],"수6,7[354-0411]",수학물리학부,
527,568,전선,수학과교과교육론,가좌캠퍼스,3.0,"화1,2[354-0409],목3[354-0409]","화1,2[354-0409]",목3[354-0409],수학물리학부,
528,570,전선,인공지능수학,가좌캠퍼스,3.0,"화5[354-0409],목6,7[354-0409]",화5[354-0409],"목6,7[354-0409]",수학물리학부,
529,571,전선,종합설계,가좌캠퍼스,3.0,"월6,7[354-0424],목5[354-0424]","월6,7[354-0424]",목5[354-0424],수학물리학부,
530,572,전선,실변수함수론,가좌캠퍼스,3.0,"월1,2[354-0410],수3[354-0410]","월1,2[354-0410]",수3[354-0410],수학물리학부,
531,573,전선,미분기하학2,가좌캠퍼스,3.0,"화1,2[354-0411],목3[354-0411]","화1,2[354-0411]",목3[354-0411],수학물리학부,
532,574,전선,수학과교재연구및지도법,가좌캠퍼스,3.0,"월3[354-0411],목1,2[354-0411]",월3[354-0411],"목1,2[354-0411]",수학물리학부,
533,577,전선,응용수치해석학,가좌캠퍼스,3.0,"월5[354-0423],수6,7[354-0423]",월5[354-0423],"수6,7[354-0423]",수학물리학부,
2417,1,균형교양,고사와성어의탐구,가좌캠퍼스,2.0,"금8,9[024-0141]","금8,9[024-0141]",,,문학과문화
2418,2,균형교양,고사와성어의탐구,가좌캠퍼스,2.0,"월1,2[024-0141]","월1,2[024-0141]",,,문학과문화
2419,3,균형교양,고사와성어의탐구,가좌캠퍼스,2.0,"수3,4[024-0141]","수3,4[024-0141]",,,문학과문화
2420,4,균형교양,그리스로마신화의이해,가좌캠퍼스,2.0,"화3,4[024-0160]","화3,4[024-0160]",,,문학과문화
2423,9,균형교양,문학의이해,가좌캠퍼스,2.0,"월6,7[024-0130]","월6,7[024-0130]",,,문학과문화
2424,10,균형교양,문학의이해,가좌캠퍼스,2.0,"수3,4[024-0130]","수3,4[024-0130]",,,문학과문화
2425,11,균형교양,문학의이해,가좌캠퍼스,2.0,"금3,4[024-0185]","금3,4[024-0185]",,,문학과문화
2426,12,균형교양,문학의이해,가좌캠퍼스,2.0,"금1,2[024-0141]","금1,2[024-0141]",,,문학과문화
2428,14,균형교양,영상으로읽는영미문학,가좌캠퍼스,2.0,"수3,4[102-0101]","수3,4[102-0101]",,,문학과문화
2429,15,균형교양,유라시아의민족과문화,가좌캠퍼스,2.0,"화6,7[024-0171]","화6,7[024-0171]",,,문학과문화
