순번,이수구분,교과목명,캠퍼스구분,학점,강의시간/강의실,강의정보1,강의정보2,학부(과),영역구분
5,전필,국문학개론,가좌캠퍼스,3.0,"금1,2,3[101-0352]","금1,2,3[101-0352]",,국어국문학과,
6,전선,한국언어·문학·문화현장답사,가좌캠퍼스,1.0,수4[101-0348],수4[101-0348],,국어국문학과,
7,전선,문학문화비평,가좌캠퍼스,3.0,"월8,9,10[101-0348]","월8,9,10[101-0348]",,국어국문학과,
8,전선,한국어음운론,가좌캠퍼스,3.0,"월1,2[101-0348],수3[101-0348]","월1,2[101-0348]",수3[101-0348],국어국문학과,
9,전선,시창작론,가좌캠퍼스,3.0,"화8,9[101-0348],목9[101-0348]","화8,9[101-0348]",목9[101-0348],국어국문학과,
10,전선,설화와문화콘텐츠,가좌캠퍼스,3.0,"월6,7[101-0348],목5[101-0348]","월6,7[101-0348]",목5[101-0348],국어국문학과,
11,전선,고전소설의이해,가좌캠퍼스,3.0,"화5[101-0352],목6,7[101-0352]",화5[101-0352],"목6,7[101-0352]",국어국문학과,
12,전선,고전문학사,가좌캠퍼스,3.0,"월8,9[101-0244],목8[101-0244]","월8,9[101-0244]",목8[101-0244],국어국문학과,
13,전선,현대소설론,가좌캠퍼스,3.0,"수1,2,3[101-0352]","수1,2,3[101-0352]",,국어국문학과,
14,전선,작가작품론,가좌캠퍼스,3.0,"화5[101-0348],목6,7[101-0348]",화5[101-0348],"목6,7[101-0348]",국어국문학과,
15,전선,글로컬시대지역의언어와문화,가좌캠퍼스,3.0,"월1,2,3[101-0352]","월1,2,3[101-0352]",,국어국문학과,
16,전선,한국어형태론,가좌캠퍼스,3.0,"화1,2[101-0348],목3[101-0348]","화1,2[101-0348]",목3[101-0348],국어국문학과,
17,전선,고전산문읽기,가좌캠퍼스,3.0,"월5[101-0136],수6,7[101-0136]",월5[101-0136],"수6,7[101-0136]",국어국문학과,
18,전선,젠더문화론,가좌캠퍼스,3.0,"화3[101-0348],금1,2[101-0348]",화3[101-0348],"금1,2[101-0348]",국어국문학과,
19,전선,한국어의미론,가좌캠퍼스,3.0,"월6,7[101-0352],목5[101-0352]","월6,7[101-0352]",목5[101-0352],국어국문학과,
20,전선,한국어방언학,가좌캠퍼스,3.0,"월5[101-0352],수6,7[101-0352]",월5[101-0352],"수6,7[101-0352]",국어국문학과,
